_orig_idx,at_question_number,at_scenario_category,at_scenario_name,at_question_level,at_task_category,Claude-3.5,DeepSeek-Reasoner,GPT-4.0,OpenAI-o3-mini
0,s1.1 (fp),fp,ds1,Easy,Network Forensics,pass,fail,pass,pass
1,s1.2,fp,ea1,Easy,Network Forensics,pass,pass,fail,pass
2,s1.3,fp,if1,Easy,Network Forensics,pass,pass,pass,pass
3,s1.4,fp,lg1,Easy,Network Forensics,pass,pass,fail,pass
4,s1.5,fp,fs1,Easy,Network Forensics,pass,pass,pass,fail
5,s1.6,fp,monday_pri_1,Easy,Network Forensics,pass,pass,pass,pass
6,s1.7,fp,monday_pri_2,Easy,Network Forensics,pass,pass,pass,fail
7,s1.8,fp,monday_pri_2_1,Easy,Network Forensics,pass,pass,fail,pass
8,s1.9,fp,monday_pri_2_10,Easy,Network Forensics,fail,fail,pass,pass
9,s1.10,fp,monday_pri_2_2,Easy,Network Forensics,pass,pass,pass,pass
10,s1.11,fp,monday_pri_2_3,Easy,Network Forensics,pass,pass,pass,pass
11,s1.12,fp,monday_pri_2_4,Easy,Network Forensics,pass,pass,fail,pass
12,s1.13,fp,monday_pri_2_5,Easy,Network Forensics,pass,pass,pass,pass
13,s1.14,fp,monday_pri_2_6,Easy,Network Forensics,pass,pass,pass,pass
14,s1.15,fp,monday_pri_2_7,Easy,Network Forensics,pass,pass,fail,pass
15,s1.16,fp,monday_pri_2_8,Easy,Network Forensics,pass,pass,pass,pass
16,s1.17,fp,monday_pri_2_9,Easy,Network Forensics,pass,pass,pass,pass
17,s1.18,fp,onday_pri_3,Easy,Network Forensics,pass,pass,pass,fail
18,s1.19,fp,monday_pri_3_1,Easy,Network Forensics,pass,pass,pass,pass
19,s1.20,fp,monday_pri_3_2,Easy,Network Forensics,pass,pass,fail,pass
20,s1.21,fp,monday_pri_3_3,Easy,Network Forensics,pass,pass,fail,pass
21,s1.22,fp,monday_pri_3_4,Easy,Network Forensics,fail,pass,pass,pass
22,s1.23,fp,monday_pri_3_5,Easy,Network Forensics,pass,pass,fail,pass
23,s1.24,fp,monday_pri_3_6,Easy,Network Forensics,pass,pass,pass,pass
24,s1.25,fp,monday_pri_3_7,Easy,Network Forensics,pass,baki,pass,pass
25,s1.26,fp,monday_pri_4,Easy,Network Forensics,pass,fail,pass,pass
26,s1.27,fp,monday_pri_5,Easy,Network Forensics,pass,pass,pass,pass
27,s1.28,fp,monday_pri_6,Easy,Network Forensics,pass,pass,pass,pass
28,s1.29,fp,monday_pri_8,Easy,Network Forensics,pass,pass,pass,pass
29,s1.30,fp,monday_pri_9,Easy,Network Forensics,pass,pass,pass,pass
31,s2.1(tp),tp,f1,Easy,Network Forensics,pass,pass,fail,pass
32,s2.2,tp,s1,Easy,Network Forensics,pass,pass,pass,pass
33,s2.3,tp,s2,Easy,Network Forensics,pass,pass,pass,pass
34,s2.4,tp,s3,Easy,Network Forensics,pass,pass,pass,pass
35,s2.5,tp,sh1,Easy,Network Forensics,fail,fail,fail,fail
