,,,,,,Claude-3.5,,,,GPT-4.0,,,,DeepSeek-Reasoner,,,,OpenAI-o3-mini,,,
Question,Scenario_category,Scenario_name,Question_Level,Task_Category,,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps
s1.1 (fp),fp,ds1,Easy,Network Forensics,,pass,,,,pass,,,,fail,,,,pass,,,
s1.2,fp,ea1,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.3,fp,if1,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.4,fp,lg1,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.5,fp,fs1,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,fail,,,
s1.6,fp,monday_pri_1,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.7,fp,monday_pri_2,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,fail,,,
s1.8,fp,monday_pri_2_1,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.9,fp,monday_pri_2_10,Easy,Network Forensics,,fail,,,,pass,,,,fail,,,,pass,,,
s1.10,fp,monday_pri_2_2,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.11,fp,monday_pri_2_3,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.12,fp,monday_pri_2_4,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.13,fp,monday_pri_2_5,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.14,fp,monday_pri_2_6,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.15,fp,monday_pri_2_7,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.16,fp,monday_pri_2_8,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.17,fp,monday_pri_2_9,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.18,fp,onday_pri_3,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,fail,,,
s1.19,fp,monday_pri_3_1,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.20,fp,monday_pri_3_2,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.21,fp,monday_pri_3_3,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.22,fp,monday_pri_3_4,Easy,Network Forensics,,fail,,,,pass,,,,pass,,,,pass,,,
s1.23,fp,monday_pri_3_5,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s1.24,fp,monday_pri_3_6,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.25,fp,monday_pri_3_7,Easy,Network Forensics,,pass,,,,pass,,,,baki,,,,pass,,,
s1.26,fp,monday_pri_4,Easy,Network Forensics,,pass,,,,pass,,,,fail,,,,pass,,,
s1.27,fp,monday_pri_5,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.28,fp,monday_pri_6,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.29,fp,monday_pri_8,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s1.30,fp,monday_pri_9,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,
s2.1(tp),tp,f1,Easy,Network Forensics,,pass,,,,fail,,,,pass,,,,pass,,,
s2.2,tp,s1,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s2.3,tp,s2,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s2.4,tp,s3,Easy,Network Forensics,,pass,,,,pass,,,,pass,,,,pass,,,
s2.5,tp,sh1,Easy,Network Forensics,,fail,,,,fail,,,,fail,,,,fail,,,
